Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.10000	37.400	26.439	0.037823	2360.3	3774.9	27.473	10.392	14.875	1605.5	-0.44542	9.4133	0.20631	supercritical
0.10000	37.600	26.550	0.037665	2360.0	3776.2	27.450	10.393	14.877	1607.3	-0.44596	9.4212	0.20651	supercritical
0.10000	37.800	26.661	0.037508	2359.7	3777.5	27.427	10.395	14.878	1609.1	-0.44650	9.4291	0.20672	supercritical
0.10000	38.000	26.771	0.037354	2359.4	3778.9	27.405	10.397	14.880	1611.0	-0.44703	9.4370	0.20692	supercritical
0.10000	38.200	26.881	0.037201	2359.1	3780.2	27.382	10.398	14.881	1612.8	-0.44756	9.4449	0.20712	supercritical
0.10000	38.400	26.991	0.037049	2358.9	3781.5	27.360	10.400	14.883	1614.6	-0.44809	9.4528	0.20733	supercritical
0.10000	38.600	27.101	0.036899	2358.6	3782.9	27.338	10.401	14.884	1616.5	-0.44861	9.4608	0.20753	supercritical
0.10000	38.800	27.210	0.036751	2358.3	3784.2	27.316	10.403	14.886	1618.3	-0.44913	9.4687	0.20774	supercritical
0.10000	39.000	27.319	0.036604	2358.0	3785.5	27.294	10.405	14.887	1620.1	-0.44965	9.4767	0.20794	supercritical
0.10000	39.200	27.428	0.036459	2357.7	3786.9	27.272	10.406	14.889	1622.0	-0.45016	9.4847	0.20815	supercritical
0.10000	39.400	27.537	0.036315	2357.4	3788.2	27.250	10.408	14.890	1623.8	-0.45067	9.4927	0.20835	supercritical
0.10000	39.600	27.645	0.036172	2357.1	3789.6	27.229	10.409	14.892	1625.6	-0.45117	9.5007	0.20856	supercritical
0.10000	39.800	27.754	0.036031	2356.9	3790.9	27.207	10.411	14.893	1627.5	-0.45167	9.5087	0.20877	supercritical
0.10000	40.000	27.861	0.035892	2356.6	3792.3	27.186	10.413	14.894	1629.3	-0.45217	9.5167	0.20897	supercritical
0.10000	40.200	27.969	0.035754	2356.3	3793.6	27.165	10.414	14.896	1631.1	-0.45267	9.5247	0.20918	supercritical
0.10000	40.400	28.076	0.035617	2356.0	3795.0	27.143	10.416	14.897	1632.9	-0.45316	9.5328	0.20939	supercritical
0.10000	40.600	28.184	0.035482	2355.8	3796.3	27.122	10.417	14.899	1634.8	-0.45364	9.5408	0.20959	supercritical
0.10000	40.800	28.291	0.035348	2355.5	3797.7	27.101	10.419	14.900	1636.6	-0.45413	9.5489	0.20980	supercritical
0.10000	41.000	28.397	0.035215	2355.2	3799.0	27.080	10.421	14.901	1638.4	-0.45461	9.5570	0.21001	supercritical
0.10000	41.200	28.504	0.035083	2354.9	3800.4	27.060	10.422	14.903	1640.2	-0.45509	9.5650	0.21022	supercritical
0.10000	41.400	28.610	0.034953	2354.7	3801.7	27.039	10.424	14.904	1642.0	-0.45556	9.5731	0.21042	supercritical
0.10000	41.600	28.716	0.034824	2354.4	3803.1	27.018	10.425	14.905	1643.9	-0.45603	9.5812	0.21063	supercritical
0.10000	41.800	28.821	0.034696	2354.1	3804.4	26.998	10.427	14.907	1645.7	-0.45650	9.5894	0.21084	supercritical
0.10000	42.000	28.927	0.034570	2353.9	3805.8	26.978	10.428	14.908	1647.5	-0.45696	9.5975	0.21105	supercritical
0.10000	42.200	29.032	0.034445	2353.6	3807.2	26.957	10.430	14.909	1649.3	-0.45742	9.6056	0.21126	supercritical
0.10000	42.400	29.137	0.034321	2353.3	3808.5	26.937	10.432	14.911	1651.1	-0.45788	9.6138	0.21147	supercritical
0.10000	42.600	29.242	0.034198	2353.1	3809.9	26.917	10.433	14.912	1652.9	-0.45834	9.6219	0.21168	supercritical
0.10000	42.800	29.346	0.034076	2352.8	3811.3	26.897	10.435	14.913	1654.8	-0.45879	9.6301	0.21189	supercritical
0.10000	43.000	29.451	0.033955	2352.6	3812.6	26.877	10.436	14.915	1656.6	-0.45924	9.6382	0.21209	supercritical
0.10000	43.200	29.555	0.033836	2352.3	3814.0	26.857	10.438	14.916	1658.4	-0.45968	9.6464	0.21230	supercritical
0.10000	43.400	29.658	0.033717	2352.1	3815.4	26.838	10.439	14.917	1660.2	-0.46013	9.6546	0.21251	supercritical
0.10000	43.600	29.762	0.033600	2351.8	3816.8	26.818	10.441	14.918	1662.0	-0.46057	9.6628	0.21272	supercritical
0.10000	43.800	29.865	0.033484	2351.5	3818.1	26.799	10.443	14.920	1663.8	-0.46100	9.6710	0.21293	supercritical
0.10000	44.000	29.968	0.033368	2351.3	3819.5	26.779	10.444	14.921	1665.6	-0.46144	9.6792	0.21314	supercritical
0.10000	44.200	30.071	0.033254	2351.0	3820.9	26.760	10.446	14.922	1667.4	-0.46187	9.6875	0.21335	supercritical
0.10000	44.400	30.174	0.033141	2350.8	3822.3	26.741	10.447	14.923	1669.2	-0.46229	9.6957	0.21357	supercritical
0.10000	44.600	30.276	0.033029	2350.5	3823.6	26.721	10.449	14.924	1671.0	-0.46272	9.7039	0.21378	supercritical
0.10000	44.800	30.379	0.032918	2350.3	3825.0	26.702	10.450	14.926	1672.8	-0.46314	9.7122	0.21399	supercritical
0.10000	45.000	30.481	0.032808	2350.1	3826.4	26.683	10.452	14.927	1674.6	-0.46356	9.7204	0.21420	supercritical
0.10000	45.200	30.582	0.032699	2349.8	3827.8	26.664	10.453	14.928	1676.4	-0.46398	9.7287	0.21441	supercritical
0.10000	45.400	30.684	0.032591	2349.6	3829.2	26.646	10.455	14.929	1678.2	-0.46439	9.7370	0.21462	supercritical
0.10000	45.600	30.785	0.032483	2349.3	3830.6	26.627	10.457	14.930	1680.0	-0.46480	9.7452	0.21483	supercritical
0.10000	45.800	30.886	0.032377	2349.1	3832.0	26.608	10.458	14.931	1681.8	-0.46521	9.7535	0.21504	supercritical
0.10000	46.000	30.987	0.032272	2348.9	3833.3	26.590	10.460	14.932	1683.6	-0.46561	9.7618	0.21526	supercritical
0.10000	46.200	31.088	0.032167	2348.6	3834.7	26.571	10.461	14.934	1685.4	-0.46602	9.7701	0.21547	supercritical
0.10000	46.400	31.188	0.032064	2348.4	3836.1	26.553	10.463	14.935	1687.2	-0.46642	9.7784	0.21568	supercritical
0.10000	46.600	31.288	0.031961	2348.1	3837.5	26.534	10.464	14.936	1689.0	-0.46681	9.7868	0.21589	supercritical
0.10000	46.800	31.388	0.031859	2347.9	3838.9	26.516	10.466	14.937	1690.8	-0.46721	9.7951	0.21610	supercritical
0.10000	47.000	31.488	0.031758	2347.7	3840.3	26.498	10.467	14.938	1692.6	-0.46760	9.8034	0.21632	supercritical
0.10000	47.200	31.587	0.031658	2347.4	3841.7	26.480	10.469	14.939	1694.4	-0.46799	9.8118	0.21653	supercritical
